K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,Facebook Page,Date
sb,ykh,EG,,,,Confirm,Wyoming Hunter and Angler's Gubernatorial Candidate Forum,"Wyoming Wildlife Federation Presents:
The Hunter and Angler's Gubernatorial Candidate Forum

Lately we haven't been hearing much from the candidates on the issues that matter to hunters and anglers. So we wanted to make sure the hunters, anglers, and conservationists of Wyoming got the answers they are looking for. This forum is built to specifically highlight the issues we hold dear - including access, opportunity, healthy wildlife and fish populations, intact ecosystems, and clean air and water - with an aim of encouraging conversation and ultimately political action. 

You will hear questions concerning public lands, wildlife funding, sage grouse, wildlife migrations, and others. There will be space for a few screened questions from the audience at the end. 

The event will be held at Durham Hall Auditorium on the campus of Casper College, 6pm-9pm Thursday, August 9th. Casper Wyoming

Press will be present. Event will be recorded and we will be streaming live on Facebook. 

A casual after party will follow for those attending the event. Location TBD.",All Gubernatorial Candidates,,,"Casper College - Casper, WY",18:00:00,6,2018-08-09T18:00:00-0600,https://www.facebook.com/events/1893719104261431/,Wyoming Hunter and Angler's Gubernatorial Candidate Forum,https://www.facebook.com/harriethageman/,8/9/2018
sb,ykh,EG,,,,Confirm,Squaw Valley Meet & Greet with Andrew Janz!,"Join us at the beautiful Sierra Peaks Winery in Squaw Valley for a meet and greet with Congressional candidate Andrew Janz, who is taking on Devin Nunes in CA-22! Come enjoy a glass of wine with Andrew and ask him any questions you may have.",,,,-,18:30:00,7,2018-08-10T18:30:00-0700,https://www.facebook.com/events/222376558416977/,Squaw Valley Meet & Greet with Andrew Janz!,https://www.facebook.com/andrewjanzforcongress/,8/10/2018
sb,EG,ykh,,,,Confirm,Macon Co. Town Hall with Betsy!,"We MUST invest in infrastructure improvements. Join Betsy Dirksen Londrigan, local elected officials, and community leaders to discuss this important topic at a town hall at Richland Community College in Decatur at 6pm on Friday, August 10. Make sure to RSVP at the link and we'll see you there! #BDLIRL",,Decatur,IL,"Shilling Education Center, Richland Community College, 1 College Park, Decatur, IL - ",18:00:00,5,2018-08-10T18:00:00-0500,https://www.facebook.com/events/299374664142864/,Macon Co. Town Hall with Betsy!,https://www.facebook.com/BetsyDirksenLondrigan/,8/10/2018
sb,ykh,EG,,,,Confirm,Meet & Greet with DPNM Labor Caucus!,"Please join:
DPNM Labor Caucus • Democratic Party of Bernalillo County Josh Anderson • Sara Attleson • Connie Derr • JD Doran 
Darrell Deaguero • John Dyrcz & Jesus Gallegos 
Andrew Gutierrez • Ashley Long

for a Meet and Greet reception in support of Deb Haaland's historic campaign for Congress in New Mexico's First Congressional District

August 10th, 2018
6-7:30 PM
Boese Brothers Brewing
601 Gold Ave. SW
Albuquerque, NM 87102

Suggested Contributions:
Sponsor: $250 • Host: $100 • Co-Host: $50 • Guest: $25

RSVP to Sydney at 505.554.8970 or Sydney@DebForCongress.com

*Contributions of any size are appreciated and all are welcome*

Contributions are not tax-deductible for federal income tax purposes.
Please make personal and PAC checks out to ""Deb Haaland for Congress"" and mail to PO Box 25443, Albuquerque, NM 87125 
or contribute online at DebForCongress.com.
Federal law requires us to use our best efforts to collect and report the name, mailing address, occupation and name of employer for individuals who contribute more than $200 in an election cycle.",,,,"Boese Brothers Brewery - Albuquerque, NM",18:00:00,6,2018-08-10T18:00:00-0600,https://www.facebook.com/events/1825342427524160/,Meet & Greet with DPNM Labor Caucus!,https://www.facebook.com/DebforCongress/,8/10/2018
sb,ykh,EG,,,,Confirm,Fundraiser with Congressman Eric Swalwell,"Please join our hosts in supporting Dave Loebsack for Congress: Elaine Baxter, Keith Schulz, Paula Logan, Theresa Johnson, Robert Beck, Senator Thomas Courtney, Niko Pothitakis,Mark & Laurie Hempen, Nancy Schultz & Jim Wyatt

The Home of Elaine Baxter
1016 N 4th Street
Burlington, IA 52601

Dave is in his sixth term representing Iowa's 2nd district. He is Iowa's only federally-elected Democrat and one of 12 Democrats to represent a seat won by Donald Trump in 2016. National Republican groups have pledged to ""viciously attack"" his campaign so we need your support!

Please RSVP to Riley, 319-804-9218 or 
by email at riley@loebsackforcongress.org",,,,"1016 N 4th St, Burlington, IA 52601-4803, United States - ",17:30:00,5,2018-08-10T17:30:00-0500,https://www.facebook.com/events/225429631442625/,Fundraiser with Congressman Eric Swalwell,https://www.facebook.com/LoebsackforCongress/,8/10/2018
sb,ykh,EG,,,,Confirm,Jackson Meet & Greet,"Come meet Mark at the Jackson Hole Winery on August 10 at 8:00 pm! Chat with him about his ideas, and YOURS, for the future of Wyoming. This event is open to the public.",,Jackson,WY,"Jackson Hole Winery - Jackson, WY",20:00:00,6,2018-08-10T20:00:00-0600,https://www.facebook.com/events/289677241802412/,Jackson Meet & Greet,https://www.facebook.com/markgordon4wyoming/,8/10/2018
sb,ykh,EG,,,,Confirm,"Meet Rufus Gifford, Democrat for the 3rd Congressional District","Note: That the Ayer DTC has not endorsed any candidates for the 3rd Massachusetts Congressional District. We will share any local events to allow others to meet the candidates. If you know of an event not listed here, please send us a message. 

Hosted by: State Representative Jennifer Benson, State Representative Stephan Hay, Lunenburg Selectman Robert Ebersole, Berlin Selectman Lisa Wysocki, Sharon Jordan (Chair, Lunenburg DTC), Troy Daniels (Lunenburg DTC), Alison Tocci (Shirley), Bill McSheehy (Fitchburg), & Steve Nigzus (Harvard).

Please join us for a fun way to spend a Friday evening with friends, complimentary snacks and drinks (cash bar), and get to know Rufus.",,,,"The Bull Run Restaurant - Shirley, MA",18:30:00,4,2018-08-10T18:30:00-0400,https://www.facebook.com/events/877991439058809/,"Meet Rufus Gifford, Democrat for the 3rd Congressional District",https://www.facebook.com/RufusGiffordforCongress/,8/10/2018
sb,EG,ykh,,,,Confirm,Summer Luau- Meet your Democratic Candidates,"Join us as we Celebrate and Prepare to Take Back Congress

Special Guests
Senator Jeff Van Drew, Democratic Candidate in CD 2
Andy Kim, Democratic Candidate in CD 3
Josh Welle, Democratic Candidate in CD 4","Senator Jeff Van Drew, Democratic Candidate in CD 2
Andy Kim, Democratic Candidate in CD 3
Josh Welle, Democratic Candidate in CD 4",Bayville,NJ,"81 Hannah Pl, Bayville, NJ 08721-2066, United States - ",12:00:00,4,2018-08-11T12:00:00-0400,https://www.facebook.com/events/1744562365658916/,Summer Luau- Meet your Democratic Candidates,https://www.facebook.com/AndyKimNJ/,8/11/2018
sb,EG,ykh,,,,Confirm,Virden Meet and Greet with Betsy!,"Please join host Jacqueline Meyers on Saturday, August 11, from 6 pm to 8 pm at 601 Lynne Street, Virden, Illinois to meet and discuss your concerns with Betsy Dirksen Londrigan, Democratic Nominee for Congress in the 13th District.",,Virden,IL,"601 Lynne St, Virden, IL 62690",18:00:00,5,2018-08-11T18:00:00-0500,https://www.facebook.com/events/212821642753016/,Virden Meet and Greet with Betsy!,https://www.facebook.com/BetsyDirksenLondrigan/,8/11/2018
sb,ykh,EG,,,,Confirm,Cookout with Conor,"YOUNG VOTERS: Come out to Hampton Park next Saturday for a cookout with Conor Lamb! Enjoy some good food and good weather, meet Conor, and find out how you can get more involved with the campaign. 

Sign up today: https://events.mobilizeamerica.io/conorforcongress/event/8637/",,,,"3101 McCully Rd, Allison Park, PA 15101-1331, United States - ",13:00:00,4,2018-08-11T13:00:00-0400,https://www.facebook.com/events/239227846717436/,Cookout with Conor,https://www.facebook.com/ConorLambPA/,8/11/2018
sb,ykh,EG,,,,Confirm,Join Dan and Tyrel in Rochester,"Meet Congressional candidate Dan Feehan and Minnesota House candidate Tyrel Clark at the home of Greg and Beth Thompson 2012 26th St SE Rochester, MN 55904.

Ice cream will be provided.",,,,"2012 26th St SE, Rochester, MN 55904-5892, United States - ",16:00:00,5,2018-08-11T16:00:00-0500,https://www.facebook.com/events/851098665091504/,Join Dan and Tyrel in Rochester,https://www.facebook.com/danfeehanforcongress/,8/11/2018
sb,ykh,EG,,,,Confirm,FUNdraiser for Dayna!,"This is a ticketed event; see actblue link to purchase tickets.
Join Dayna Steele, Democratic candidate for Texas' 36th Congressional District, as Rob Mungle and Friends perform at Joke Joint Comedy Showcase on Saturday, August 11 for a very FUN fundraiser!",,,,Joke Joint Comedy Showcase -,20:00:00,5,2018-08-11T20:00:00-0500,https://www.facebook.com/events/899567130230218/,FUNdraiser for Dayna!,https://www.facebook.com/daynasteele36/,8/11/2018
sb,ykh,EG,,,,Confirm,"Breakfast with Dan, Liz and Dan's guitar!","Join Dan Canon and Liz Watson for a morning of breakfast, music, and door knocking in Johnson County. Let’s flip the ninth from red to blue together! Breakfast will be available from 10 to 11:30, followed by 🚪 knocking!

Questions? Please contact Kyle Swain at Kyle@lizforindiana.com. 

Please RSVP here by Aug 9.",,,,"380 S Madison Ave, Greenwood, IN 46142-3136, United States - ",10:00:00,4,2018-08-11T10:00:00-0400,https://www.facebook.com/events/478853422564607/,"Breakfast with Dan, Liz and Dan's guitar!",https://www.facebook.com/LizForIndiana/,8/11/2018
sb,ykh,EG,,,,Confirm,Team Stanton Office Opening,"Join Mayor Greg Stanton and the team for the official opening of our new headquarters in Tempe!  Location will be announced on Tuesday afternoon.

This is a great opportunity to learn more about the campaign, sign up to volunteer, and hear how we'll work together to send Greg to Congress in November.

Questions? Contact Tom at Tom@StantonforArizona.com",,,,To Be Announced -,11:30:00,7,2018-08-11T11:30:00-0700,https://www.facebook.com/events/1144459329037820/,Team Stanton Office Opening,https://www.facebook.com/stantonforarizona/,8/11/2018
sb,EG,ykh,,,,Confirm,Sunday Brunch with Andy,"Brunch for a cause! Come out, meet Andy, and get to know the campaign!",,Mt. Laurel,NJ,"Mt. Laurel, New Jersey - ",11:00:00,7,2018-08-12T11:00:00-0700,https://www.facebook.com/events/2057265044524024/,Sunday Brunch with Andy,https://www.facebook.com/AndyKimNJ/,8/12/2018
sb,ykh,EG,,,,Confirm,Panel Discussion on Local Infrastructure w/ Rep. Cheri Bustos,"Congresswoman Cheri Bustos of Illinois and Theresa Gasper will headline a panel discussion on the need for critical infrastructure investments to preserve our nation's natural resources, provide much-needed repairs to local roads and bridges, as well as create jobs.  
*Other presenters to be added*",,,,"Center for Regional Cooperation - Dayton, OH",13:00:00,4,2018-08-12T13:00:00-0400,https://www.facebook.com/events/510164346103842/,Panel Discussion on Local Infrastructure w/ Rep. Cheri Bustos,https://www.facebook.com/gasperforcongress/,8/12/2018
EG,ykh,TP,sb,SA,,Confirm,Swisher: Party in Twin Falls,"Aaron will have a backyard party in Twin Falls hosted by columnist Linda Brugger. Snacks and beverages will be provided and Aaron will give an update on the campaign, bring yard signs, and talk with voters about the future of the country.",,Twin Falls,ID,"926 Cypress Way, Twin Falls, ID 83301-6776, United States - ",18:30:00,6,2018-08-13T18:30:00-0600,https://www.facebook.com/events/1619264738202837/,Swisher: Party in Twin Falls,https://www.facebook.com/SwisherforIdaho/,8/13/2018
sb,ykh,EG,,,,Confirm,Sussex Co. Republican Candidate Forum,Republican US Senate Forum,,,,"Cheer Community Center - Georgetown, DE",17:15:00,4,2018-08-13T17:15:00-0400,https://www.facebook.com/events/829581417232578/,Sussex Co. Republican Candidate Forum,https://www.facebook.com/VoteTruono/,8/13/2018
sb,ykh,EG,,,,Confirm,Democrats IN Dekalb Family Picnic at the Park,Come join the political fun. Bring the family and enjoy some free food and a chance to hear from local Democratic candidates.,,,,"Eastside Park, 700 Block of E. Keyser Street, Garrett, IN - ",18:00:00,4,2018-08-14T18:00:00-0400,https://www.facebook.com/events/464740593956461/,Democrats IN Dekalb Family Picnic at the Park,https://www.facebook.com/CourtneyTritchForCongress/,8/14/2018
sb,ykh,EG,,,,Confirm,Calaveras Meet & Greet with Jessica Morse,Join us in Calaveras to hear from Jessica Morse and learn how you can get involved in #TeamMorse! RSVP to samantha@morse4congress.com.,,,,ADDRESS UPON RSVP -,18:00:00,7,2018-08-15T18:00:00-0700,https://www.facebook.com/events/183599675840573/,Calaveras Meet & Greet with Jessica Morse,https://www.facebook.com/Morse4America/,8/15/2018
sb,EG,SA,,,,Confirm,IDYD Pool Party with Aaron Swisher,"Join the Idaho Young Democrats and Aaron Swisher for a fun-filled all-ages evening under the beautiful August sky. Enjoy vibrant music, win prizes, and bid in our silent auction. Food and drink will accompany the evening's festivities. Proceeds go to the Idaho Young Democrats and Swisher for Congress. 

We have received some generous donations for the 2018 IDYD field fellowship, and we're almost fully funded! Please help us with our final push!

We are asking for a suggested $10 donation for attendance (it's gonna be lit!) but if you can't attend, please consider making a donation as a sponsorship for a high school or college student!

Roadside parking only, please do not park in the apartment complex.",,Boise,ID,"365 N Whitewater Park Blvd, Boise, ID 83702-5514, United States - ",18:00:00,6,2018-08-15T18:00:00-0600,https://www.facebook.com/events/837320419794440/,IDYD Pool Party with Aaron Swisher,https://www.facebook.com/SwisherforIdaho/,8/15/2018
sb,ykh,EG,,,,Confirm,Chelsea Fundraiser for Gretchen Driskell,"Gretchen Driskell for Congress will be in Chelsea for the closing day of Sounds & Sights. Come meet her and fellow supporters at the Historic Post Office for drinks, conversation, and fun!

Generously hosted by Dr. Ray Maturo
Address provided upon RSVP through donation to ActBlue: https://secure.actblue.com/donate/chelseafordriskell

Contribution Levels:
$2,700 Champion
$1,000 Host
$500 Benefactor
$250 Friend
$100 Supporter
$50 Attendee

Can't attend? Please make a donation to https://secure.actblue.com/donate/chelseafordriskell",,,,"Chelsea, MI - Chelsea, MI",18:30:00,4,2018-08-16T18:30:00-0400,https://www.facebook.com/events/225257928325752/,Chelsea Fundraiser for Gretchen Driskell,https://www.facebook.com/votegretchen/,8/16/2018
sb,EG,ykh,,,,Confirm,Coffee With Your Candidate,"Come join us for coffee with Democratic frontrunner Brandon Peters! We would love to hear about what matters most to you and discuss how we can work together on issues facing all Floridians. Bring your friends, family and questions!

Hosted by Gia Jelinek",,,,"Lucky Goat Coffee - Tallahassee, FL",16:00:00,4,2018-08-17T16:00:00-0400,https://www.facebook.com/events/706700313008576/,Coffee With Your Candidate,https://www.facebook.com/peters4congress/,8/17/2018
sb,ykh,EG,,,,Confirm,YPro Brunch with Kendra,"YPro's for Kendra Horn are at it again! Join us for our second Young Professional's Brunch with Kendra in the Plaza District. Tickets are $50 and get you delicious brunchy food, brunchy drinks, and an opportunity to help Kendra #FliptheFifth.

Tickets must be purchased in advance, so get yours quick!",,,,"Paint N Cheers - Oklahoma City, OK",11:00:00,5,2018-08-18T11:00:00-0500,https://www.facebook.com/events/653495141693339/,YPro Brunch with Kendra,https://www.facebook.com/KendraHornForCongress/,8/18/2018
sb,ykh,EG,,,,Confirm,Tecumseh Fundraiser for Gretchen Driskell,"Gretchen Driskell for Congress will be in Tecumseh on August 19th and honored to be attending a fundraiser hosted by former Mayor Harvey Schmidt, his wife Pat, and their son Ben. Join Gretchen and the Schmidt family for fun and conversation!

Generously hosted by Harvey, Pat, and Ben Schmidt
Address provided upon RSVP to ActBlue: https://secure.actblue.com/donate/tecumsehfordriskell

Contribution Levels:
$2,700 Champion
$1,000 Host
$500 Benefactor
$250 Friend
$100 Supporter
$50 Attendee

Can't attend? Please make a donation to https://secure.actblue.com/donate/tecumsehfordriskell",,,,"Tecumseh, MI - Tecumseh, MI",18:00:00,4,2018-08-19T18:00:00-0400,https://www.facebook.com/events/1135352506614288/,Tecumseh Fundraiser for Gretchen Driskell,https://www.facebook.com/votegretchen/,8/19/2018
sb,EG,ykh,,,,Confirm,Fundraiser for Cindy Axne for Congress,"Join Cindy Axne Democratic candidate for U.S. Congress in Iowa’s 3rd District for a fundraiser hosted by Eric Tabor, with special host Congressman Dave Loebsack. 

Cindy grew up on the southside of Des Moines and graduated from the University of Iowa. After spending time in Illinois, where she earned an MBA from Northwestern University, Cindy, her husband, and their two kids moved to West Des Moines in 2005. From 2005-2014, Cindy worked for the State of Iowa, helping agencies more efficiently and effectively deliver services to taxpayers. Simultaneously, she became an activist on issues like universal kindergarten for kids in West Des Moines. She now runs a digital design firm with her husband. 

Host Levels Bronze $100, Silver $250, Gold $500, Platinum $1000
Suggested Donation $50.00

RSVP to Joe Younkle
jyounkle@cindyaxneforcongress.com",,,,"1619 Thornwood Rd, West Des Moines, IA 50265-5341, United States - ",17:30:00,5,2018-08-22T17:30:00-0500,https://www.facebook.com/events/2228206667398904/,Fundraiser for Cindy Axne for Congress,https://www.facebook.com/CindyAxneForCongress/,8/22/2018
sb,EG,SA,,,,Confirm,Guest Bartending at the Mode!,Aaron Swisher will be serving the drinks at the Mode Lounge on August 23rd from 7pm to 10pm! Come get a Congressional Old Fashioned!,,Boise,ID,"The Mode Lounge - Boise, ID",19:00:00,6,2018-08-23T19:00:00-0600,https://www.facebook.com/events/219957032047264/,Guest Bartending at the Mode!,https://www.facebook.com/SwisherforIdaho/,8/23/2018
sb,ykh,EG,,,,Confirm,Meet & Greet with Deb Haaland in Corrales!,"Please join hosts:

Eleanor Bravo & Donn Herman • Fred Harris & Marg Elliston Laura & Paul Stokes • Carla & Jim Wright • Harold J. Pope Melinda Smith • Pat & John Stover • Israel Chavez
Jan Henfling • Shalini Shanker & Dr. Abinash Achrekar 
Bobbie Weinbaum • Carla Josephson • Suzanne Prescott Margarita Mercure Hibbs • Polly Garner & Bill Vega 
Mike & Pam Neas • Virginia Gredell • Theresa Trujeque
Cornelia Lange • Naomi Vasquez • George Oppenheimer 
Jannie & Jerry Dusseau • Sue Hallgarth & Mary Ellen Capek
Kathy & Phil Sciarotta • Steve Simmons • Gary Lasky
Randle Adair • Nat & Sarah Cobb • Craig Barth & Victoria Bell Debbie O'Malley • Donnie Leonard & Donna Wylie 
DeDe Feldman • Loretta Naranjo Lopez • Shell Marie Underwood Janet Bridgers • Melanie Scholer • Mariel Nanasi & Jeff Haas 
Eddie Chavez • Gina Naomi Dennis 
Crystal Anson & Greg Ireland

for a Meet & Greet reception in support of Deb Haaland and her historic campaign

August 25th
5-7 PM
178 Cottonwood Ln.
Corrales, NM 87048

*All are welcome and contributions of any size are appreciated*

Friend: $100 • Supporter: $50 • Guest: $25

RSVP to Sydney at 505.554.8970
or Sydney@DebForCongress.com

Contributions are not tax-deductible for federal income tax purposes.
Please make personal and PAC checks out to ""Deb Haaland for Congress"" and mail to PO Box 25443, Albuquerque, NM 87125
or contribute online at DebForCongress.com.
Federal law requires us to use our best efforts to collect and report the name, mailing address, occupation and name of employer for individuals who contribute more than $200 in an election cycle.",,,,"178 Cottonwood Ln, Corrales, NM 87048-9045, United States - ",17:00:00,6,2018-08-25T17:00:00-0600,https://www.facebook.com/events/2021848178128898/,Meet & Greet with Deb Haaland in Corrales!,https://www.facebook.com/DebforCongress/,8/25/2018
sb,EG,ykh,,,,Confirm,Adel: Meet and Greet for Cindy Axne for Congress,"Join Cindy Axne Candidate for U.S. Congress in Iowa’s 3rd District for a Meet and Greet hosted by Bryce and Kale Smith.

Cindy is a fifth-generation Iowan that grew up in Des Moines and graduated from the University of Iowa. After spending time in Illinois, where she earned an MBA from Northwestern University, Cindy, her husband, and their two kids moved to West Des Moines in 2005. From 2005-2014, Cindy worked for the State of Iowa, helping agencies more efficiently and effectively deliver services to taxpayers. Simultaneously, she became an activist on issues like universal kindergarten for kids in West Des Moines. She now runs a digital design firm with her husband.

RSVP to Joe Diver
Joe@CindyAxneforCongress.com",,,,"614 Court St, Adel, IA 50003-1515, United States - ",16:30:00,5,2018-08-29T16:30:00-0500,https://www.facebook.com/events/686775818326448/,Adel: Meet and Greet for Cindy Axne for Congress,https://www.facebook.com/CindyAxneForCongress/,8/29/2018
sb,EG,ykh,,,,Confirm,Madison County: Meet And Greet for Cindy Axne for Congress,"Join Cindy Axne Candidate for U.S. Congress in Iowa’s 3rd District for a Meet and Greet hosted by Julie and Alan Feirer.  

Cindy is a fifth-generation Iowan that grew up in Des Moines and graduated from the University of Iowa. After spending time in Illinois, where she earned an MBA from Northwestern University, Cindy, her husband, and their two kids moved to West Des Moines in 2005. From 2005-2014, Cindy worked for the State of Iowa, helping agencies more efficiently and effectively deliver services to taxpayers. Simultaneously, she became an activist on issues like universal kindergarten for kids in West Des Moines. She now runs a digital design firm with her husband.

RSVP to Joe Diver
Joe@CindyAxneforCongress.com",,,,"1128 W Jefferson St, Winterset, IA 50273-1770, United States - ",17:30:00,5,2018-09-11T17:30:00-0500,https://www.facebook.com/events/870196803175879/,Madison County: Meet And Greet for Cindy Axne for Congress,https://www.facebook.com/CindyAxneForCongress/,9/11/2018
sb,EG,ykh,,,,Confirm,Fremont: Meet and Greet for Cindy Axne,"Join Cindy Axne Candidate for U.S. Congress in Iowa’s 3rd District for a Meet and Greet hosted by the Cindy Axne for Congress campaign.

Cindy is a fifth-generation Iowan that grew up in Des Moines and graduated from the University of Iowa. After spending time in Illinois, where she earned an MBA from Northwestern University, Cindy, her husband, and their two kids moved to West Des Moines in 2005. From 2005-2014, Cindy worked for the State of Iowa, helping agencies more efficiently and effectively deliver services to taxpayers. Simultaneously, she became an activist on issues like universal kindergarten for kids in West Des Moines. She now runs a digital design firm with her husband.

RSVP for the address to Heidi Carter at 712.542.4072 or Alice Hodde at 712.350.1325",,,,-,9:30:00,4,2018-09-15T09:30:00-0400,https://www.facebook.com/events/612465065788407/,Fremont: Meet and Greet for Cindy Axne,https://www.facebook.com/CindyAxneForCongress/,9/15/2018
ykh,EG,x,sb,,,Confirm,Delaware Republican Debate (US Senate),9-12 Patriots Organized and will host this debate.,,,,"Dover Elks Lodge #1903 - Dover, DE",18:00:00,4,2018-08-07T18:00:00-0400,https://www.facebook.com/events/2095000717239986/,Delaware Republican Debate (US Senate),https://www.facebook.com/VoteTruono/,8/7/2018
EG,x,x,sb,ykh,,Confirm,El Dorado Barnstorm,"barn•storm (ˈbɑrnˌstɔrm) 
 v.i.
 1. to conduct a campaign in rural areas by making brief stops in many small towns.
 2. to tour small towns giving theatrical performances.
 
 Democrats can win in November, but only if we can get people excited and mobilized. Join us and your neighbors who want to change the way the state is moving, who believe that Democrats care about people and can think for ourselves, and who want to make the world a better place. The Barnstorms that we envision around the state are the launching step for energizing a solid base of volunteers for every democratic campaign this election season. 
 
 In order to do this, we will be holding rallies and trainings across the state. Candidates will speak to constituents, and attendees will then receive world-class volunteer training including theory of change, storytelling, and other tools to concretely impact the 2018 election and beyond.
 
 Please RSVP for our El Dorado Barnstorm at the following address: https://secure.ngpvan.com/mvHb8FkaFUqShj8WnYpkiw2",,,,"The Balcony on the Square - El Dorado, AR",18:00:00,5,2018-08-07T18:00:00-0500,https://www.facebook.com/events/181066759424022/,El Dorado Barnstorm,https://www.facebook.com/JaredforGov/,8/7/2018
sb,EG,ykh,,,,Confirm,Bagley - DaRoos Pizza,"With the August 14th Primary election less than 2 weeks away, you won't want to miss this...
 
 Jeff Johnson will be in Bagley, MN, on Monday, August 6th. Join him for lunch at noon at DaRoos Pizza (1718 Central St W, Bagley, MN), and get to know your next grassroots governor! There aren't many things that are better than eating pizza with Jeff Johnson. Hope to see you there!
 
 RSVP here: http://www.johnsonforgovernor.org/bagley_daroos_pizza",,,,"DaRoos - Bagley, MN",12:00:00,5,2018-08-06T12:00:00-0500,https://www.facebook.com/events/1332311656903786/,Bagley - DaRoos Pizza,https://www.facebook.com/jeff4gov/,8/6/2018
sb,ykh,EG,,,,Confirm,Colstrip Meet and Greet,"Join Kathleen for a meet and greet at Colstrip City Hall chamber meeting room on August 6th. Don't miss your chance to meet Kathleen in person, hear her speak, and ask her questions! This event is free and open to the public. 
 
 Feel free to share this event and invite others. Hope to see you there!
 
 If you are unable to attend but would like to donate please click the link below.
 
 https://act.myngp.com/Forms/8673730638250904320",,,,"12 Cherry St, Colstrip, MT 59323-9634, United States -",19:00:00,6,2018-08-06T19:00:00-0600,https://www.facebook.com/events/221013415272953/,Colstrip Meet and Greet,https://www.facebook.com/Williamsformontana/,8/6/2018
sb,ykh,EG,,,,Confirm,Count Down to Election Day!,"Join friends, supporters, the Brenda for Vermont team, and Brenda herself to celebrate the countdown to election day! 
 
 Held on the beautiful Rooftop of the Whetstone Station, light appetizers will be provided: Cash Bar. 
 
 Hear from Brenda Siegel, Teddy Waszazak, and others as we discuss the importance of the upcoming election, and learn what you can do in the next weeks to help get us over the finish line!
 
 Lawn Signs, Buttons, Stickers, Bumperstickers will be available.",,,,Brenda Siegel for Governor -,18:00:00,4,2018-08-06T18:00:00-0400,https://www.facebook.com/events/658197231221607/,Count Down to Election Day!,https://www.facebook.com/brendasiegelvermont/,8/6/2018
sb,ykh,EG,,,,Confirm,FEDDs Monthly with Colin Allred and Dan Wood!,"Please join the FEDDs and Colin Allred - Democratic Candidate for US Congressional District 32 and Dan Wood - Democratic Candidate for US Congressional District 5 and hear how you can help them win in November! We had so many people at our last meeting so had to change locations! Go Democrats! Please RSVP or email me if you can make it so we can plan for appropriate seating and wait staff! Thank you so much! Jill Cochran
 jillcochran5@gmail.com",Dan Wood,,,Ozona Grill & Bar - Dallas -,18:30:00,5,2018-08-06T18:30:00-0500,https://www.facebook.com/events/2090671054489355/,FEDDs Monthly with Colin Allred and Dan Wood!,https://www.facebook.com/ColinAllredTX/,8/6/2018
sb,EG,x,,,,Confirm,Get Out the VOTE Rally,"Do you like to vote on Voting Day? Do you have friends or family that you want to see go to the polls?
 
 Well, we want to get you excited about voting and we're bringing along some candidates to help get everyone in the swing of election season!
 
 Featured guests:
 
 James Thompson - U.S. Congress
 Joshua Svaty - Kansas Gubernatorial Candidate
 Monica Marks - Kansas House of Representatives, District 85
 Renee Duxler - Sedgwick County Commission
 Lacey Cruse - Sedgwick County Commission",James Thompson,,,"R Coffee House - Wichita, KS",14:30:00,5,2018-08-06T14:30:00-0500,https://www.facebook.com/events/446494109202120/,Get Out the VOTE Rally,https://www.facebook.com/votejamesthompson/,8/6/2018
sb,EG,x,,,,Confirm,Honoring the Voting Rights Act with Dr. Josie Johnson,"Come honor the 53rd anniversary of the Voting Rights Act with Dr. Josie Johnson, State Senator Bobby Joe Champion, U.S. Senator Tina Smith, and a first-time voter. In recognizing the importance of this historic legislation, we'll hear from some of the Minnesota leaders who have first-hand experience in extending voting rights. While this is a celebration of the progress that has been made, it is also a recognition of the work that still needs to be done.
 
 After the remarks, you are invited to join Senator Smith in casting your vote in the Minnesota Primary Election. A reminder that if you plan to vote, no specific candidate apparel (including shirts, buttons, and signs) may be visible when voting. While you may wear political attire, no candidate attire is allowed if the candidate is on the ballot.
 
 RSVP here: https://secure.ngpvan.com/7vxJLFWHb0inyFgg_k1OyQ2
 
 Check that you're registered to vote here: https://mnvotes.sos.state.mn.us/VoterStatus.aspx",,,,"Hennepin County Government Center - Minneapolis, MN",12:00:00,5,2018-08-06T12:00:00-0500,https://www.facebook.com/events/1052444731589440/,Honoring the Voting Rights Act with Dr. Josie Johnson,https://www.facebook.com/TinaSmithMN/,8/6/2018
EG,x,x,sb,,,Confirm,Hot Springs Barnstorm,"barn•storm (ˈbɑrnˌstɔrm) 
 v.i.
 1. to conduct a campaign in rural areas by making brief stops in many small towns.
 2. to tour small towns giving theatrical performances.
 
 Democrats can win in November, but only if we can get people excited and mobilized. Join us and your neighbors who want to change the way the state is moving, who believe that Democrats care about people and can think for ourselves, and who want to make the world a better place. The Barnstorms that we envision around the state are the launching step for energizing a solid base of volunteers for every democratic campaign this election season. 
 
 In order to do this, we will be holding rallies and trainings across the state. Candidates will speak to constituents, and attendees will then receive world-class volunteer training including theory of change, storytelling, and other tools to concretely impact the 2018 election and beyond.
 
 Please RSVP for the Hot Springs Barnstorm at the following address: https://secure.ngpvan.com/0GPXArnTGkOG8KFpE8bHvw2",,,,"608 W Grand Ave, Hot Springs National Park, AR 71901-3922, United States -",18:00:00,5,2018-08-06T18:00:00-0500,https://www.facebook.com/events/265750830865648/,Hot Springs Barnstorm,https://www.facebook.com/JaredforGov/,8/6/2018
