K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,,
,,,sb,ykh,EG,Delete,Kentwood Knock Your Block!,"Talking with our neighbors is the most effective way to make sure folks in our communities are ready to vote.

Join us in Kentwood as we talk with friends about the issues that matter most to them, why this election is so important, and why Dr. Rob Davidson will fight for them instead of the special interests that dominate D.C. today.

We will provide all necessary materials for canvassing, including water and snacks (please bring a refillable bottle if you can, to minimize plastic waste) and will provide volunteer training at the beginning of every shift. If you are unable to canvass, we also have phone banking opportunities at our Kentwood office at the same time.

RSVP and start thinking about who you can bring with you!  RSVP: events.mobilizeamerica.io/davidsonforcongress/event/8071/",,,,"Davidson Kentwood HQ 3777 44th St SE Kentwood, MI 49512 - ",10:00:00,4,2018-08-04T10:00:00-0400,https://www.facebook.com/events/976279819245951/,Kentwood Knock Your Block!,https://www.facebook.com/RobDavidsonForCongress/,8/4/2018
,,,sb,ykh,EG,Delete,Grandville Knock Your Block!,"Talking with our neighbors is the most effective way to make sure folks in our communities are ready to vote.

Join us in Grandville as we talk with friends about the issues that matter most to them, why this election is so important, and why Dr. Rob Davidson will fight for them instead of the special interests that dominate D.C. today.

We will provide all necessary materials for canvassing, including water and snacks (please bring a refillable bottle if you can, to minimize plastic waste) and will provide volunteer training at the beginning of every shift. If you are unable to canvass, we also have phone banking opportunities at our Kentwood office at the same time.

RSVP and start thinking about who you can bring with you! RSVP: events.mobilizeamerica.io/davidsonforcongress/event/8077/",,,,Wedgewood Park 3381 Wilson Ave SW Grandville MI 49418 -,12:00:00,4,2018-08-04T12:00:00-0400,https://www.facebook.com/events/208545156488143/,Grandville Knock Your Block!,https://www.facebook.com/RobDavidsonForCongress/,8/4/2018
,,,sb,ykh,EG,Delete,Muskegon Knock Your Block!,"Talking with our neighbors is the most effective way to make sure folks in our communities are ready to vote.

Join us in Muskegon as we talk with friends about the issues that matter most to them, why this election is so important, and why Dr. Rob Davidson will fight for them instead of the special interests that dominate D.C. today.

We will provide all necessary materials for canvassing, and will provide volunteer training at the beginning of every shift. If you are unable to canvass, we also have phone banking opportunities at our Muskegon office at the same time.

RSVP and start thinking about who you can bring with you!  RSVP: events.mobilizeamerica.io/davidsonforcongress/event/8616/",,,,AFL-CIO 490 W Western Ave Muskegon MI 49440 -,13:00:00,4,2018-08-04T13:00:00-0400,https://www.facebook.com/events/219410915435477/,Muskegon Knock Your Block!,https://www.facebook.com/RobDavidsonForCongress/,8/4/2018
,,,sb,ykh,EG,Delete,Ludington Knock Your Block!,"Talking with our neighbors is the most effective way to make sure folks in our communities are ready to vote.

Join us in Ludington as we talk with friends about the issues that matter most to them, why this election is so important, and why Dr. Rob Davidson will fight for them instead of the special interests that dominate D.C. today.

We will provide all necessary materials for canvassing and will provide volunteer training at the beginning of every shift.

RSVP and start thinking about who you can bring with you! RSVP: events.mobilizeamerica.io/davidsonforcongress/event/8655/",,,,Biggby Coffee 4551 W US  Highway 10 Ludington MI 49431 -,12:00:00,4,2018-08-05T12:00:00-0400,https://www.facebook.com/events/269679776960952/,Ludington Knock Your Block!,https://www.facebook.com/RobDavidsonForCongress/,8/5/2018
,,,sb,ykh,EG,Delete,Hudsonville Knock Your Block!,"Talking with our neighbors is the most effective way to make sure folks in our communities are ready to vote. Join us in Hudsonville as we talk with friends about the issues that matter most to them, why this election is so important, and why Rob is the candidate to bring change that West Michigan residents want and need!

We will provide all the materials necessary for canvassing, and a brief training session to make sure that every volunteer is prepared to have meaningful conversations with voters.

RSVP and start thinking about you can bring with you!  RSVP: events.mobilizeamerica.io/davidsonforcongress/event/8328/",,,,"Hughes Park 40th Ave & Van Buren St Hudsonville, MI 49426 - ",12:00:00,4,2018-08-05T12:00:00-0400,https://www.facebook.com/events/2062677060650744/,Hudsonville Knock Your Block!,https://www.facebook.com/RobDavidsonForCongress/,8/5/2018
,,,sb,ykh,EG,Delete,Saturday Morning Block Walk (SW Arlington),"Block walk with us to reach independent voters! We'll show you what to do. Walkers AND drivers needed!

Please download MiniVAN in advance.",,,,"McDonald's (4841 W Sublett Rd, Arlington, TX 76017) - ",9:30:00,5,2018-08-04T09:30:00-0500,https://www.facebook.com/events/814099992311232/,Saturday Morning Block Walk (SW Arlington),https://www.facebook.com/JanaLynneSanchezforUSCongress/,8/4/2018
,,,sb,ykh,EG,Delete,"Saturday Morning Block Walking, Midlothian","Come walk with us as we talk to independent and moderate voters in Midlothian! Never walked with us before? No problem! We'll show you everything you need to do before we walk. 

***Make sure that you have the MiniVAN app downloaded on your smartphone prior to arrival***",,,,"Subway (910 E Main St, Midlothian, TX 76065-3348, United States) - ",9:30:00,5,2018-08-04T09:30:00-0500,https://www.facebook.com/events/1732320930200230/,"Saturday Morning Block Walking, Midlothian",https://www.facebook.com/JanaLynneSanchezforUSCongress/,8/4/2018
,,,sb,ykh,EG,Delete,"Saturday Afternoon Block Walking, Midlothian","Join us as we talk to moderate and independent voters in Midlothian! Never walked with us before? No problem! We'll show you everything you need to do before we walk. 

***Please make sure that you have the MiniVAN app downloaded on your smartphone prior to arriving.***",,,,"910 E Main St, Midlothian, TX 76065-3348, United States - ",13:00:00,5,2018-08-04T13:00:00-0500,https://www.facebook.com/events/209919596367204/,"Saturday Afternoon Block Walking, Midlothian",https://www.facebook.com/JanaLynneSanchezforUSCongress/,8/4/2018
,,,sb,ykh,EG,Delete,Saturday Afternoon Block Walk (SW Arlington),"Block walk with us to reach independent voters! We'll show you what to do. Walkers AND drivers needed!

Please download MiniVAN in advance.",,,,"McDonald's (4841 W Sublett Rd, Arlington, TX 76017) - ",13:00:00,5,2018-08-04T13:00:00-0500,https://www.facebook.com/events/485961105208000/,Saturday Afternoon Block Walk (SW Arlington),https://www.facebook.com/JanaLynneSanchezforUSCongress/,8/4/2018
,,,sb,ykh,EG,Delete,Sunday Block Walk (SW Arlington),"Block walk with us to reach independent voters! We'll show you what to do. Walkers AND drivers needed!

Please download MiniVAN in advance.",,,,"McDonald's (4841 W Sublett Rd, Arlington, TX 76017) - ",17:00:00,5,2018-08-05T17:00:00-0500,https://www.facebook.com/events/270461387018976/,Sunday Block Walk (SW Arlington),https://www.facebook.com/JanaLynneSanchezforUSCongress/,8/5/2018
,,,sb,ykh,EG,Delete,"Sunday Block Walking, Midlothian",Come with us and talk to moderate and independent voters! Never walked with us before? No problem! We'll show you everything you need to know before we walk?,,,,"910 E Main St, Midlothian, TX 76065-3348, United States - ",17:00:00,5,2018-08-05T17:00:00-0500,https://www.facebook.com/events/2068340996522992/,"Sunday Block Walking, Midlothian",https://www.facebook.com/JanaLynneSanchezforUSCongress/,8/5/2018
,,,sb,ykh,EG,Delete,Brenham Blockwalk for Mike!,"Sick of attacks against Medicare, the environment, and common decency? Ready to fight back?

Join us to talk to your neighbors and spread the word about Mike Siegel. We'll provide everything you need for a successful event. Together, we'll flip the Texas 10th and return responsive and responsible representation to our district!",,,,"205 E Vulcan St, Brenham, TX 77833-3219, United States - ",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/290952718135906/,Brenham Blockwalk for Mike!,https://www.facebook.com/siegelfortexas/,8/4/2018
,,,sb,ykh,EG,Delete,"Katy Area Democrats Day of Action: Beto, Mike, Andrea and Gina!","Join the Katy Area Democrats for a Day of Action making direct voter contact in support of Mike Siegel for Congress - TX-10, Gina Calanni for Texas House of Representatives- District 132, Andrea Schrumpf Duhon, and Beto O'Rourke! FREE refreshments will be provided, along with a fun and informative training, and all the materials you will need to be effective in the field! For those who cannot or prefer not to canvass, there will be other options including postcarding and phonebanking. Campaign activities are more fun and more efficient when we do them together, so we hope to see all y'all out in force on Sunday!!!",,,,"21511 Misty Isle Court, Katy, TX 77449 - ",14:00:00,5,2018-08-05T14:00:00-0500,https://www.facebook.com/events/1302941536475245/,"Katy Area Democrats Day of Action: Beto, Mike, Andrea and Gina!",https://www.facebook.com/siegelfortexas/,8/5/2018
,,,sb,ykh,EG,Delete,Katy Blockwalk for Mike and Gina!,"Join us at the home of precinct chair Patti Vazquez for a neighborhood canvas in support of Mike Siegel for Congress - TX-10 and Gina Calanni for Texas House of Representatives- District 132 along with other great Dems on the ballot! We will provide training, literature, and the other materials necessary to have a fun, successful day on turf! FREE refreshments provided as well, hope you can help build a Blue Wave in November!",,,,"20046 Crazy Horse Cir, Katy, TX 77449, United States - ",10:00:00,5,2018-08-11T10:00:00-0500,https://www.facebook.com/events/500470303730577/,Katy Blockwalk for Mike and Gina!,https://www.facebook.com/siegelfortexas/,8/11/2018
,,,sb,ykh,EG,Delete,"Cypress Blockwalk for Mike, Gina, and Collier!","Join us for a blockwalk in support of Mike Siegel for Congress - TX-10, Gina Calanni, and Mike Collier. FREE refreshments will be provided, along with a fun and informative training, and all the materials you will need to be effective in the field. For those who would like to contribute to our efforts but cannot blockwalk, we will have other options like postcarding and phonebanking. Campaigning is more fun and more efficient when we do it together, so we hope y'all will mark your calendars and come out with us on Saturday!",,,,"17114 Meek Pass Dr, Cypress, TX 77433-4839, United States - ",15:29:00,5,2018-08-11T15:29:00-0500,https://www.facebook.com/events/928004344057914/,"Cypress Blockwalk for Mike, Gina, and Collier!",https://www.facebook.com/siegelfortexas/,8/11/2018
,,,sb,ykh,EG,Delete,Tomball Blockwalking and Postcarding Party for Mike!,"Join us at the home of precinct chair Claire Spencer for a neighborhood canvas and postcarding party in support of Mike Siegel for Congress - TX-10 for Texas House of Representatives- District 132 along with other great Dems on the ballot! We will provide training, literature, and the other materials necessary to have a fun, successful day of voter contact! FREE refreshments provided as well, hope you can help us build a Blue Wave in November!",,,,"12531 New Hampton Dr, Tomball, TX 77377-8461, United States - ",15:30:00,5,2018-08-12T15:30:00-0500,https://www.facebook.com/events/215946635755602/,Tomball Blockwalking and Postcarding Party for Mike!,https://www.facebook.com/siegelfortexas/,8/12/2018
,,,sb,ykh,EG,Delete,Metsa for Congress Phone Bank - Hibbing,"Join Team Metsa for a phone bank in Hibbing!

Reach out to Sam for details on how to get involved at 218-259-2655 or Sam@jasonmetsa.com",,,,"IBEW Local 294 - Hibbing, MN",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/279107856226571/,Metsa for Congress Phone Bank - Hibbing,https://www.facebook.com/VoteMetsa/,8/4/2018
,,,sb,ykh,EG,Delete,Metsa for Congress Phone Bank and Doorknock - Duluth,"Join Team Metsa for a Phone Bank and Doorknock in Duluth! 

Reach out to Daniel at Dan@jasonmetsa.com for details.",,,,"5723 Grand Ave., Duluth, MN - ",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/1166731050194203/,Metsa for Congress Phone Bank and Doorknock - Duluth,https://www.facebook.com/VoteMetsa/,8/4/2018
,,,sb,ykh,EG,Delete,Metsa for Congress Phone Bank and Doorknock - Virginia,"Join Team Metsa for a phone bank and doorknock! 
For more details reach out to Brandy at 218-410-7216 or Brandy@jasonmetsa.com",,,,"726 4th St S, Virginia, MN 55792-3014, United States - ",13:00:00,5,2018-08-05T13:00:00-0500,https://www.facebook.com/events/288411488584370/,Metsa for Congress Phone Bank and Doorknock - Virginia,https://www.facebook.com/VoteMetsa/,8/5/2018
,,,sb,ykh,EG,Delete,Aiken County Volunteer Training,Join Team Carrigan in Aiken to learn more about how you can get new leadership elected for our community. Everyone is welcome! Email volunteer@carriganforcongress.com with any questions.,,,,"Aiken County Democratic Party, 410 Richland Ave W, Aiken, SC 29801, USA - ",15:00:00,4,2018-08-04T15:00:00-0400,https://www.facebook.com/events/2040119292971025/,Aiken County Volunteer Training,https://www.facebook.com/carriganforcongress/,8/4/2018
,,,sb,ykh,EG,Delete,Lexington Community Fun Day,#TeamCarrigan is looking for volunteers to manage our table at the Lexington Community Fun Day! Please email volunteer@carriganforcongress.com if you can take a shift.,,,,915 N Hendrix St -,15:00:00,4,2018-08-04T15:00:00-0400,https://www.facebook.com/events/2476094335750304/,Lexington Community Fun Day,https://www.facebook.com/carriganforcongress/,8/4/2018
,,,sb,ykh,EG,Delete,Lexington Volunteer Training,Join Team Carrigan in Lexington to learn more about how you can help elect new leadership for our community. Please email volunteer@carriganforcongress.com with any questions.,,,,"Lizard's Thicket, 4610 Augusta Rd, Lexington, SC 29073, USA - ",18:30:00,4,2018-08-09T18:30:00-0400,https://www.facebook.com/events/258154984987631/,Lexington Volunteer Training,https://www.facebook.com/carriganforcongress/,8/9/2018
,,,sb,ykh,EG,Delete,Richland County Volunteer Training,Join Team Carrigan to learn more about how you can help elect new leadership for South Carolina. Email volunteer@carriganforcongress.com with questions.,,,,"Richland County Democratic Party - Columbia, SC",17:30:00,4,2018-08-21T17:30:00-0400,https://www.facebook.com/events/908879805978776/,Richland County Volunteer Training,https://www.facebook.com/carriganforcongress/,8/21/2018
,,,sb,ykh,EG,Delete,Sublette County Republican Party Pinedale Forum,For details contact the Sublette County Republican Party.,,,,"Pinedale, WY - Pinedale, WY",18:00:00,6,2018-08-06T18:00:00-0600,https://www.facebook.com/events/2109404242611595/,Sublette County Republican Party Pinedale Forum,https://www.facebook.com/harriethageman/,8/6/2018
sb,EG,SA,,,,Confirm,Canvass Kickoff with Abby and Eric Gjerde,"Join Abby and Eric Gjerde, candidate for Iowa House District 67, for a canvass kickoff at Karma Coffee this Saturday, August 4th, at 2:00pm.",,Hiawatha,IA,"Karma Coffee Cafe - Hiawatha, IA",14:00:00,5,2018-08-04T14:00:00-0500,https://www.facebook.com/events/1041298172705610/,Canvass Kickoff with Abby and Eric Gjerde,https://www.facebook.com/Abby4Iowa/,8/4/2018
sb,ykh,EG,,,,Confirm,Clintonville Office Canvass with Rich Cordray,"Join candidate for Governor, Rich Cordray, and the O'Connor for Congress campaign for a canvass launch at 12:30 pm on SUNDAY 8/5. We will have turf packets, MiniVAN logins, and literature for the campaign available. Bring you, your friends, and your cell phone and we'll talk to voters at the doors about Danny's campaign for new leadership in Congress and real representation for the people of the 12th district!",,,,"3045 Indianola Ave, Columbus, OH 43202-1303, United States - ",12:30:00,4,2018-08-05T12:30:00-0400,https://www.facebook.com/events/1114246525416901/,Clintonville Office Canvass with Rich Cordray,https://www.facebook.com/dannyoconnorforcongress/,8/5/2018
sb,ykh,,,,,,Soderberg for Congress Canvass Kick Off!,"Join us this Saturday at 11AM to knock on doors with Nancy Soderberg!

With less than 30 days until the Election, we need to talk to our neighbors now and make sure they are ready to vote!

Location: 1200 Deltona Blvd, Suite 6-8, Deltona

RSVP to canvass with us by emailing: kirsten@soderbergforcongress.com",,,,"1200 Deltona Blvd, Suite 6-8, Deltona, FL - ",11:00:00,4,2018-08-04T11:00:00-0400,https://www.facebook.com/events/1652652078196411/,Soderberg for Congress Canvass Kick Off!,https://www.facebook.com/SoderbergforCongress/,8/4/2018
sb,ykh,,,,,,Canvass with Cort & Sen. Jill Schupp,"Join Team Cort & Sen. Jill Schupp to canvass with us on Saturday, Aug. 4 at 10 am. Meet at our field office in Manchester, and help us canvass parts of the Second to get out the vote on Aug. 7!",,,,"629 Big Bend Rd, Ballwin, MO 63021-7723, United States - ",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/2346378258721963/,Canvass with Cort & Sen. Jill Schupp,https://www.facebook.com/cortforcongress/,8/4/2018
,,,sb,ykh,EG,Delete,Bellevue Area Canvass,"Join us this Saturday to knock doors for Conor Lamb in Bellevue, Ben Avon and Avalon! Click the link below to sign up, and we'll see you at Cyclops Cafe at 11am Saturday morning.

Sign up today: https://events.mobilizeamerica.io/conorforcongress/event/4907/",,,,"Cyclops Cafe - Pittsburgh, PA",11:00:00,4,2018-08-04T11:00:00-0400,https://www.facebook.com/events/1807409866004710/,Bellevue Area Canvass,https://www.facebook.com/ConorLambPA/,8/4/2018
,,,sb,ykh,EG,Delete,Mannion/Balter Office Opening,"Join us at the launch of the Camillus office! We'll be coordinating to elect democrats up and down the ticket from this location.

Sign up by clicking this link!
https://bit.ly/2KmSp9L",,,,"25 Main St, Camillus, NY 13031-1126, United States - ",10:00:00,4,2018-08-11T10:00:00-0400,https://www.facebook.com/events/235875693600920/,Mannion/Balter Office Opening,https://www.facebook.com/DanaBalterForCongress/,8/11/2018
,,,sb,ykh,,,GOTV for Danny O'Connor!,"All GOTV shifts are here: 

https://events.mobilizeamerica.io/oconnorforcongress/

We need you for GOTV canvasses! There are 3 shifts every day from each staging location all across the district:

-9:30am
-12:30pm
-3:30pm

We need all hands on deck for our final push - can you sign up for 3 shifts? All GOTV staging locations and times are below!

Gahanna: 
events.mobilizeamerica.io/oconnorforcongress/event/6897/

Dublin: 
events.mobilizeamerica.io/oconnorforcongress/event/6880

Worthington:
events.mobilizeamerica.io/oconnorforcongress/event/6888/

Mansfield:
events.mobilizeamerica.io/oconnorforcongress/event/6637/

Newark:
events.mobilizeamerica.io/oconnorforcongress/event/6639/

Lewis Center:
events.mobilizeamerica.io/oconnorforcongress/event/6647/

Zanesville:
events.mobilizeamerica.io/oconnorforcongress/event/6893/

Westerville:
events.mobilizeamerica.io/oconnorforcongress/event/6643/

Powell:
events.mobilizeamerica.io/oconnorforcongress/event/6645/

Clintonville HQ:
events.mobilizeamerica.io/oconnorforcongress/event/6877/

Clintonville - Home of Mia Lewis
events.mobilizeamerica.io/oconnorforcongress/event/6877/

Delaware:
events.mobilizeamerica.io/oconnorforcongress/event/6634/

Reynoldsburg:
events.mobilizeamerica.io/oconnorforcongress/event/7913/",,,,-,9:30:00,4,2018-08-04T09:30:00-0400,https://www.facebook.com/events/2115180988758039/,GOTV for Danny O'Connor!,https://www.facebook.com/dannyoconnorforcongress/,8/4/2018
,,,sb,ykh,,,Canvass with Team Jason!,Come knock doors for Jason in the final weekend before the primary! We need all hands on deck to make sure Jason gets a chance to take on Dino Rossi in the general!,,,,"411 E St NE, Auburn, WA 98002-4330, United States - ",10:00:00,7,2018-08-05T10:00:00-0700,https://www.facebook.com/events/186786295528796/,Canvass with Team Jason!,https://www.facebook.com/JasonRittereiserforCongress/,8/5/2018
,,,sb,ykh,,,Team Schrier Wenatchee Canvass,"Join Team Kim to knock on doors in Wenatchee. We'll be talking to voters about the issues that matter most about them and spreading the word about why we know Dr. Kim Schrier is the best candidate to represent the 8th District in Congress! 

First-time canvassers are encouraged to join! Training will be provided. 

Sign up using the RSVP link or email info@drkimschrier.com for more information.",,,,"Memorial Park Wenatchee-2 S Chelan Ave, Wenatchee, WA 98801 - ",10:00:00,7,2018-08-04T10:00:00-0700,https://www.facebook.com/events/247985629327051/,Team Schrier Wenatchee Canvass,https://www.facebook.com/DrKimSchrier/,8/4/2018
,,,sb,ykh,,,Canvass with Team Jason in Sammamish!,Come knock doors with Team Jason in Sammamish the last weekend before the election!,,,,"Sammamish City Hall - Sammamish, WA",11:00:00,7,2018-08-05T11:00:00-0700,https://www.facebook.com/events/694386550903366/,Canvass with Team Jason in Sammamish!,https://www.facebook.com/JasonRittereiserforCongress/,8/5/2018
,,,sb,ykh,,,Canvass with Cort,"Join Team Cort to canvass with us on Saturday, Aug. 4 at 4 pm. Meet at our campaign office in Manchester, and help us canvass parts of the Second to get out the vote on Aug. 7!",,,,"629 Big Bend Rd, Ballwin, MO 63021-7723, United States - ",16:00:00,5,2018-08-04T16:00:00-0500,https://www.facebook.com/events/1343151822483113/,Canvass with Cort,https://www.facebook.com/cortforcongress/,8/4/2018
,,,sb,ykh,,,Canvass with Cort,"Join Team Cort to canvass on Sunday, August 5 at 11 a.m. Meet at our campaign office in Manchester and help us canvass parts of the Second to get the vote out on Aug. 7!",,,,"629 Big Bend Rd, Ballwin, MO 63021-7723, United States - ",11:00:00,5,2018-08-05T11:00:00-0500,https://www.facebook.com/events/210985652950110/,Canvass with Cort,https://www.facebook.com/cortforcongress/,8/5/2018
,,,sb,ykh,EG,Delete,Get Out the Vote Phone Bank,Come phone bank with Cort to get out the vote for the Aug. 7 primary!,,,,"629 Big Bend Rd, Ballwin, MO 63021-7723, United States - ",13:00:00,5,2018-08-05T13:00:00-0500,https://www.facebook.com/events/2119759261632995/,Get Out the Vote Phone Bank,https://www.facebook.com/cortforcongress/,8/5/2018
,,,sb,ykh,,,Canvass with Cort,"Join Team Cort to canvass with us on Sunday, Aug. 5 at 4 pm. Meet at our campaign office in Manchester, and help us canvass parts of the Second to get out the vote on Aug. 7!",,,,"629 Big Bend Rd, Ballwin, MO 63021-7723, United States - ",16:00:00,5,2018-08-05T16:00:00-0500,https://www.facebook.com/events/2123215537950589/,Canvass with Cort,https://www.facebook.com/cortforcongress/,8/5/2018
,,,sb,ykh,,,Rocklin Canvass Launch,"Join our Rocklin Host, Millie, for a canvass training and canvassing shift in Rocklin! Sign up to volunteer for a shift from 9AM-12PM by RSVPing to zoe@morse4congress.com. Bring a phone, friend, and smile. Look forward to hitting the pavement with you this weekend!",,,,"Millie's home, CORNER OF TRAIL DUST LANE AND CREEK HOLLOW ROAD, ROCKLIN, CA 95765 - ",9:00:00,7,2018-08-04T09:00:00-0700,https://www.facebook.com/events/2109609119326701/,Rocklin Canvass Launch,https://www.facebook.com/Morse4America/,8/4/2018
,,,sb,ykh,,,Deschutes: Canvassing with Jamie!,"CANVASS SATURDAY
SPECIAL GUEST
Saturday, August 4th
9:30-12:00
COMPASS PARK

Come at 9:30, get your assignment, any training needed and check in with each other. 
At 10:00, Jamie will join us and talk for a few minutes. 

PLEASE RSVP here https://secure.ngpvan.com/0hZerVC0ZESQVAC9YExpMA2

Then we’ll be off doing our turfs. We have a big goal this weekend—20 canvassers and 600 doors. 

Come help us do this important task and meet the candidate. 

Thanks, thanks, thanks. 
Patricia DeLozier, volunteer
505-710-5639",,,,"Compass Park - Bend, OR",9:30:00,7,2018-08-04T09:30:00-0700,https://www.facebook.com/events/1589782784477563/,Deschutes: Canvassing with Jamie!,https://www.facebook.com/JamieForOregon/,8/4/2018
,,,sb,EG,,,"Canvass for Lois Herr, Shanna Danielson and George Scott!","Join Lois Herr for PA Senate, Shanna Danielson for PA 92, and George Scott for Congress for a day of canvassing!

With less than 100 days until the general election, it is important that we reach as many voters as we can. Join us as we speak with voters about the importance of voting in November. Get your sneakers ready and help us to gain support for our democratic candidates in York County! 

We will be canvassing in Newberry Township on Saturday, August 11th, and have two shifts available:
10am-1pm
1pm-4pm

Meeting place will be Newberry Storage, 1969 York Haven Rd, Goldsboro, PA 17319.

To sign up for a canvassing shift, learn about other opportunities to get involved, and for questions, contact one of the following:

Theresa Gassert
tgass726@gmail.com
717-679-5373

Bernie Flinchbaugh
gpixie@ptd.net

Sam Fullam
sfullam@padems.com 

To learn more about the candidates, check out their websites:

www.LoisHerrforPASenate.com
www.shannaforpa92.com
georgescott4congress.com

We hope to see you Saturday, August 11th!",,,,"Newberry Storage - Etters, PA",10:00:00,4,2018-08-11T10:00:00-0400,https://www.facebook.com/events/214762069222374/,"Canvass for Lois Herr, Shanna Danielson and George Scott!",https://www.facebook.com/GeorgeScott4Congress/,8/11/2018
,,,sb,,,,Field Office Opening,"We're opening our newest Field Office in Huntington Beach! Please bring a friend and join us on our first big canvass launch out of the new office.

RSVP for details: https://events.mobilizeamerica.io/roudaforcongress/event/8025/",,,,"Huntington Beach, CA - ",11:00:00,7,2018-08-04T11:00:00-0700,https://www.facebook.com/events/1941390629494071/,Field Office Opening,https://www.facebook.com/HarleyforCongress/,8/4/2018
sb,,,,,,,LD 22 Joint Canvass with Brianna Westbook,"Join us for our LD22 Canvassing Campaign Kickoff with LD22 State Senate Candidate Brianna Westbrook. We'll be launching from our office located 12370 N 83rd Ave., Suite 108 at 9am sharp!",,,,"Hiral Tipirneni - Peoria, AZ",9:00:00,7,2018-08-04T09:00:00-0700,https://www.facebook.com/events/185576318803314/,LD 22 Joint Canvass with Brianna Westbook,https://www.facebook.com/hiralforcongress/,8/4/2018
sb,,,,,,,Spanish Language Canvass for James Thompson,"Join James for a Spanish language canvass in Wichita! Spanish language skills are encouraged, but not required. Kids are welcome! 

We will meet at the James Thompson for Kansas office for training and to team up.",,,,"James Thompson for Kansas - Wichita, KS",18:00:00,5,2018-08-05T18:00:00-0500,https://www.facebook.com/events/671487126551294/,Spanish Language Canvass for James Thompson,https://www.facebook.com/votejamesthompson/,8/5/2018
,,,sb,,,,Primary Day Canvass for James Thompson,"Support Team Thompson on primary day by helping get out the vote! Wear your Thompson gear (don't have any? Pick up a shirt at the office), your walking shoes, and get ready for a great day of talking to voters! Never canvassed before? No problem! We'll teach you everything you need to know about canvassing!",,,,"James Thompson for Kansas - Wichita, KS",10:00:00,5,2018-08-07T10:00:00-0500,https://www.facebook.com/events/440400093128452/,Primary Day Canvass for James Thompson,https://www.facebook.com/votejamesthompson/,8/7/2018
sb,,,,,,,JeffCo Canvass Launch,"Please join Dianne in Lakewood this Sunday, August 5 at 10:00 am! We look forward to getting outside to ensure that everyone in your community hears about our bold vision for Colorado.",,,,"145 S Sheridan Blvd #228, Lakewood, CO 80226-2400, United States - ",10:00:00,6,2018-08-05T10:00:00-0600,https://www.facebook.com/events/2104510282940945/,JeffCo Canvass Launch,https://www.facebook.com/PolisForColorado/,8/5/2018
sb,,,,,,,Adams County Canvass Launch,"Please join Dianne in Adams County on Saturday, August 18 at 4:00 pm! We look forward to getting outside to ensure that everyone in your community hears about our bold vision for Colorado.",,,,"7245 Gilpin Way Suite #160, Denver, CO 80229-6506, United States - ",16:00:00,6,2018-08-18T16:00:00-0600,https://www.facebook.com/events/239792409988128/,Adams County Canvass Launch,https://www.facebook.com/PolisForColorado/,8/18/2018
,,,sb,,,,Douglas County Canvass and Phonebank,"Come out to help us canvass in Douglas County! We need your help to mobilize your friends and neighbors. Join us this Saturday as we continue on our path of flipping the House.

Don't forget water, a pen, and sunscreen! We will have some for those who forget. If you got a clipboard at our Mega-Canvass, or have an extra clipboard, bring that along too!

Please sign up at: https://events.mobilizeamerica.io/crowforcongress/event/8030/",,,,"9831 S Westbury Way, Littleton, CO 80129-6932, United States - ",10:00:00,6,2018-08-04T10:00:00-0600,https://www.facebook.com/events/1891573564214653/,Douglas County Canvass and Phonebank,https://www.facebook.com/JasonCrowforCongress/,8/4/2018
,,,sb,,,,Adams County Canvass and Phonebank,"Come out to help us canvass in Adams County! We need your help to mobilize your friends and neighbors. Join us on  Saturday the 11th as we continue on our path of flipping the House. There will be opportunities to canvass, phonebank, textbank, as well as help us write postcards.

Don't forget water, a pen, and sunscreen! We will have some for those who forget. If you have an extra clipboard, bring that along too!

Sign up here: https://events.mobilizeamerica.io/crowforcongress/event/8532/",,,,"327 E Bridge St, Brighton, CO 80601-2018, United States - ",11:00:00,6,2018-08-11T11:00:00-0600,https://www.facebook.com/events/657748347927531/,Adams County Canvass and Phonebank,https://www.facebook.com/JasonCrowforCongress/,8/11/2018
,,,sb,,,,"Canvassing For Jess King Hanover, PA","Please come out and canvass for Jess King, our Democratic candidate for United States House of Representatives in PA District 11. 

Shifts typically run between 10:00am - 1:00pm and from 1:00pm - 4:00pm, but there's room for flexibility. 

First time canvassing? No problem! 

Jess' campaign has packets, scripts, and an easy to use app to make canvassing a breeze! 

What: Canvassing for Jess King
Where: Anna Kruk Corbin's Home
              509 Boundary Avenue
              Hanover, PA 17331
When: Saturday, August 4th, 10:00am-4:00pm

https://jesskingforcongress.com/",,,,"509 Boundary Avenue Hanover, PA 17331 - ",10:00:00,4,2018-08-04T10:00:00-0400,https://www.facebook.com/events/456937358050033/,"Canvassing For Jess King Hanover, PA",https://www.facebook.com/jesskingforcongress/,8/4/2018
